"Plot Title: 20937885"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20937885, SEN S/N: 20937885)","Intensity, lum/ft² (LGR S/N: 20937885, SEN S/N: 20937885)","Button Down (LGR S/N: 20937885)","Button Up (LGR S/N: 20937885)","Host Connected (LGR S/N: 20937885)","End Of File (LGR S/N: 20937885)"
1,11/02/22 08:00:00 AM,67.67,84.97,,,,
2,11/02/22 08:00:20 AM,67.67,85.95,,,,
3,11/02/22 08:00:40 AM,67.67,86.96,,,,
4,11/02/22 08:01:00 AM,67.75,89.25,,,,
5,11/02/22 08:01:20 AM,67.67,91.00,,,,
6,11/02/22 08:01:40 AM,67.75,88.47,,,,
7,11/02/22 08:02:00 AM,67.67,92.99,,,,
8,11/02/22 08:02:20 AM,67.67,90.76,,,,
9,11/02/22 08:02:40 AM,67.59,97.57,,,,
10,11/02/22 08:03:00 AM,67.67,100.72,,,,
11,11/02/22 08:03:20 AM,67.59,99.32,,,,
12,11/02/22 08:03:40 AM,67.59,106.82,,,,
13,11/02/22 08:04:00 AM,67.59,104.38,,,,
14,11/02/22 08:04:20 AM,67.59,76.70,,,,
15,11/02/22 08:04:40 AM,67.52,70.22,,,,
16,11/02/22 08:05:00 AM,67.44,73.58,,,,
17,11/02/22 08:05:20 AM,67.44,70.22,,,,
18,11/02/22 08:05:40 AM,67.28,72.51,,,,
19,11/02/22 08:06:00 AM,67.28,65.25,,,,
20,11/02/22 08:06:20 AM,67.21,68.70,,,,
21,11/02/22 08:06:40 AM,67.21,71.97,,,,
22,11/02/22 08:07:00 AM,67.28,71.20,,,,
23,11/02/22 08:07:20 AM,67.13,73.43,,,,
24,11/02/22 08:07:40 AM,67.21,69.60,,,,
25,11/02/22 08:08:00 AM,67.21,73.67,,,,
26,11/02/22 08:08:20 AM,67.21,75.57,,,,
27,11/02/22 08:08:40 AM,67.21,80.15,,,,
28,11/02/22 08:09:00 AM,67.13,82.53,,,,
29,11/02/22 08:09:20 AM,67.21,78.84,,,,
30,11/02/22 08:09:40 AM,67.21,80.92,,,,
31,11/02/22 08:10:00 AM,67.13,79.38,,,,
32,11/02/22 08:10:20 AM,67.13,85.05,,,,
33,11/02/22 08:10:40 AM,67.05,144.01,,,,
34,11/02/22 08:11:00 AM,67.13,147.93,,,,
35,11/02/22 08:11:20 AM,67.13,152.21,,,,
36,11/02/22 08:11:40 AM,67.21,109.19,,,,
37,11/02/22 08:12:00 AM,67.13,95.67,,,,
38,11/02/22 08:12:20 AM,67.13,99.03,,,,
39,11/02/22 08:12:40 AM,67.05,150.55,,,,
40,11/02/22 08:13:00 AM,67.05,153.58,,,,
41,11/02/22 08:13:20 AM,67.05,150.19,,,,
42,11/02/22 08:13:40 AM,67.05,140.20,,,,
43,11/02/22 08:14:00 AM,66.90,139.37,,,,
44,11/02/22 08:14:20 AM,66.98,172.07,,,,
45,11/02/22 08:14:40 AM,66.98,154.65,,,,
46,11/02/22 08:15:00 AM,66.90,130.99,,,,
47,11/02/22 08:15:20 AM,66.90,129.56,,,,
48,11/02/22 08:15:40 AM,66.90,79.76,,,,
49,11/02/22 08:16:00 AM,66.90,137.82,,,,
50,11/02/22 08:16:20 AM,66.82,79.23,,,,
51,11/02/22 08:16:40 AM,66.90,57.66,,,,
52,11/02/22 08:17:00 AM,66.74,43.06,,,,
53,11/02/22 08:17:20 AM,66.82,48.37,,,,
