"Plot Title: 20983689"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20983689, SEN S/N: 20983689)","Intensity, lum/ft² (LGR S/N: 20983689, SEN S/N: 20983689)","Button Down (LGR S/N: 20983689)","Button Up (LGR S/N: 20983689)","Host Connected (LGR S/N: 20983689)","End Of File (LGR S/N: 20983689)"
1,10/05/22 08:00:00 AM,78.02,249.60,,,,
2,10/05/22 08:00:20 AM,78.25,237.89,,,,
3,10/05/22 08:00:40 AM,78.33,238.54,,,,
4,10/05/22 08:01:00 AM,78.56,590.77,,,,
5,10/05/22 08:01:20 AM,79.41,1270.49,,,,
6,10/05/22 08:01:40 AM,80.41,1774.69,,,,
7,10/05/22 08:02:00 AM,81.26,1563.50,,,,
8,10/05/22 08:02:20 AM,81.73,1582.53,,,,
9,10/05/22 08:02:40 AM,82.34,1648.17,,,,
10,10/05/22 08:03:00 AM,82.50,578.17,,,,
11,10/05/22 08:03:20 AM,82.19,332.73,,,,
12,10/05/22 08:03:40 AM,81.96,264.94,,,,
13,10/05/22 08:04:00 AM,81.88,187.53,,,,
14,10/05/22 08:04:20 AM,81.80,139.43,,,,
15,10/05/22 08:04:40 AM,81.73,163.27,,,,
16,10/05/22 08:05:00 AM,81.73,85.26,,,,
17,10/05/22 08:05:20 AM,81.73,62.64,,,,
18,10/05/22 08:05:40 AM,81.49,86.04,,,,
19,10/05/22 08:06:00 AM,81.42,88.29,,,,
20,10/05/22 08:06:20 AM,81.34,88.06,,,,
21,10/05/22 08:06:40 AM,81.26,86.66,,,,
22,10/05/22 08:07:00 AM,81.26,86.60,,,,
23,10/05/22 08:07:20 AM,81.18,87.67,,,,
24,10/05/22 08:07:40 AM,81.26,89.22,,,,
25,10/05/22 08:08:00 AM,81.11,84.82,,,,
26,10/05/22 08:08:20 AM,81.03,83.51,,,,
27,10/05/22 08:08:40 AM,81.03,94.63,,,,
28,10/05/22 08:09:00 AM,81.03,109.61,,,,
29,10/05/22 08:09:20 AM,80.95,109.37,,,,
30,10/05/22 08:09:40 AM,81.03,113.24,,,,
31,10/05/22 08:10:00 AM,81.03,103.43,,,,
32,10/05/22 08:10:20 AM,80.95,316.43,,,,
33,10/05/22 08:10:40 AM,81.11,159.11,,,,
34,10/05/22 08:11:00 AM,81.03,184.14,,,,
35,10/05/22 08:11:20 AM,81.42,452.00,,,,
36,10/05/22 08:11:40 AM,81.80,318.22,,,,
37,10/05/22 08:12:00 AM,81.73,536.55,,,,
38,10/05/22 08:12:20 AM,82.81,491.12,,,,
39,10/05/22 08:12:40 AM,82.34,161.72,,,,
40,10/05/22 08:13:00 AM,82.11,139.67,,,,
41,10/05/22 08:13:20 AM,82.03,168.56,,,,
42,10/05/22 08:13:40 AM,81.88,317.15,,,,
43,10/05/22 08:14:00 AM,81.88,333.68,,,,
44,10/05/22 08:14:20 AM,81.80,383.74,,,,
45,10/05/22 08:14:40 AM,82.03,1396.07,,,,
46,10/05/22 08:15:00 AM,82.65,1892.18,,,,
47,10/05/22 08:15:20 AM,83.04,2010.14,,,,
48,10/05/22 08:15:40 AM,83.42,1863.17,,,,
49,10/05/22 08:16:00 AM,83.50,1876.96,,,,
50,10/05/22 08:16:20 AM,82.96,188.66,,,,
51,10/05/22 08:16:40 AM,82.73,1749.01,,,,
52,10/05/22 08:17:00 AM,83.35,2056.76,,,,
53,10/05/22 08:17:20 AM,83.73,2225.14,,,,
54,10/05/22 08:17:40 AM,84.12,2176.63,,,,
55,10/05/22 08:18:00 AM,84.20,1672.43,,,,
56,10/05/22 08:18:20 AM,83.81,1679.08,,,,
57,10/05/22 08:18:40 AM,83.81,367.09,,,,
58,10/05/22 08:19:00 AM,83.58,569.13,,,,
59,10/05/22 08:19:20 AM,83.58,557.71,,,,
60,10/05/22 08:19:40 AM,83.42,839.78,,,,
61,10/05/22 08:20:00 AM,83.42,179.50,,,,
62,10/05/22 08:20:20 AM,82.88,192.46,,,,
63,10/05/22 08:20:40 AM,82.65,211.79,,,,
64,10/05/22 08:21:00 AM,83.04,2192.80,,,,
65,10/05/22 08:21:20 AM,83.58,2209.92,,,,
66,10/05/22 08:21:40 AM,83.89,1963.53,,,,
67,10/05/22 08:22:00 AM,83.50,232.36,,,,
68,10/05/22 08:22:20 AM,82.96,117.43,,,,
69,10/05/22 08:22:40 AM,82.57,97.01,,,,
70,10/05/22 08:23:00 AM,82.11,99.03,,,,
71,10/05/22 08:23:20 AM,81.73,121.20,,,,
72,10/05/22 08:23:40 AM,81.42,116.57,,,,
73,10/05/22 08:24:00 AM,81.03,96.23,,,,
74,10/05/22 08:24:20 AM,80.95,129.32,,,,
75,10/05/22 08:24:40 AM,80.64,140.56,,,,
76,10/05/22 08:25:00 AM,80.41,142.28,,,,
77,10/05/22 08:25:20 AM,80.34,150.07,,,,
78,10/05/22 08:25:40 AM,80.26,1901.69,,,,
79,10/05/22 08:26:00 AM,81.18,2502.93,,,,
80,10/05/22 08:26:20 AM,80.95,196.21,,,,
81,10/05/22 08:26:40 AM,81.26,762.01,,,,
82,10/05/22 08:27:00 AM,80.95,183.84,,,,
83,10/05/22 08:27:20 AM,80.72,225.88,,,,
84,10/05/22 08:27:40 AM,80.57,239.61,,,,
85,10/05/22 08:28:00 AM,80.57,264.94,,,,
86,10/05/22 08:28:20 AM,80.57,417.16,,,,
87,10/05/22 08:28:40 AM,80.57,279.09,,,,
88,10/05/22 08:29:00 AM,80.49,208.70,,,,
89,10/05/22 08:29:20 AM,81.42,3102.26,,,,
90,10/05/22 08:29:40 AM,82.27,3475.18,,,,
91,10/05/22 08:30:00 AM,82.11,1791.34,,,,
92,10/05/22 08:30:20 AM,82.27,442.13,,,,
93,10/05/22 08:30:40 AM,82.34,602.90,,,,
94,10/05/22 08:31:00 AM,82.34,988.42,,,,
95,10/05/22 08:31:20 AM,82.88,2094.81,,,,
96,10/05/22 08:31:40 AM,82.81,472.81,,,,
97,10/05/22 08:32:00 AM,82.11,415.01,,,,
98,10/05/22 08:32:20 AM,81.57,406.93,,,,
99,10/05/22 08:32:40 AM,81.18,445.22,,,,
100,10/05/22 08:33:00 AM,81.03,554.38,,,,
101,10/05/22 08:33:20 AM,80.88,768.19,,,,
102,10/05/22 08:33:40 AM,80.57,370.18,,,,
103,10/05/22 08:34:00 AM,80.34,342.00,,,,
104,10/05/22 08:34:20 AM,80.26,668.54,,,,
105,10/05/22 08:34:40 AM,80.18,683.53,,,,
106,10/05/22 08:35:00 AM,80.10,737.75,,,,
107,10/05/22 08:35:20 AM,80.03,702.55,,,,
108,10/05/22 08:35:40 AM,79.72,308.82,,,,
109,10/05/22 08:36:00 AM,79.64,321.67,,,,
110,10/05/22 08:36:20 AM,79.56,556.52,,,,
111,10/05/22 08:36:40 AM,79.41,347.59,,,,
112,10/05/22 08:37:00 AM,79.25,383.38,,,,
113,10/05/22 08:37:20 AM,79.18,429.17,,,,
114,10/05/22 08:37:40 AM,79.18,515.62,,,,
115,10/05/22 08:38:00 AM,79.18,787.93,,,,
116,10/05/22 08:38:20 AM,79.18,591.25,,,,
117,10/05/22 08:38:40 AM,79.18,687.09,,,,
118,10/05/22 08:39:00 AM,79.10,709.92,,,,
119,10/05/22 08:39:20 AM,79.10,696.37,,,,
120,10/05/22 08:39:40 AM,79.10,683.53,,,,
121,10/05/22 08:40:00 AM,79.25,836.69,,,,
122,10/05/22 08:40:20 AM,79.41,577.69,,,,
123,10/05/22 08:40:40 AM,79.33,404.79,,,,
124,10/05/22 08:41:00 AM,79.25,265.42,,,,
125,10/05/22 08:41:20 AM,79.18,227.25,,,,
126,10/05/22 08:41:40 AM,79.56,2154.75,,,,
127,10/05/22 08:42:00 AM,79.56,241.46,,,,
128,10/05/22 08:42:20 AM,79.49,261.26,,,,
129,10/05/22 08:42:40 AM,79.41,216.31,,,,
130,10/05/22 08:43:00 AM,79.41,281.00,,,,
131,10/05/22 08:43:20 AM,79.33,243.00,,,,
132,10/05/22 08:43:40 AM,79.25,99.41,,,,
133,10/05/22 08:44:00 AM,79.33,296.81,,,,
134,10/05/22 08:44:20 AM,79.25,272.79,,,,
