"Plot Title: 20983687"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20983687, SEN S/N: 20983687)","Intensity, lum/ft² (LGR S/N: 20983687, SEN S/N: 20983687)","Button Down (LGR S/N: 20983687)","Button Up (LGR S/N: 20983687)","Host Connected (LGR S/N: 20983687)","End Of File (LGR S/N: 20983687)"
1,10/05/22 08:00:00 AM,80.10,2071.03,,,,
2,10/05/22 08:00:20 AM,80.26,709.45,,,,
3,10/05/22 08:00:40 AM,80.41,681.86,,,,
4,10/05/22 08:01:00 AM,80.72,2165.21,,,,
5,10/05/22 08:01:20 AM,82.34,2269.86,,,,
6,10/05/22 08:01:40 AM,83.27,2209.92,,,,
7,10/05/22 08:02:00 AM,84.20,2306.96,,,,
8,10/05/22 08:02:20 AM,84.97,2345.01,,,,
9,10/05/22 08:02:40 AM,85.66,2346.91,,,,
10,10/05/22 08:03:00 AM,86.28,2530.52,,,,
11,10/05/22 08:03:20 AM,86.36,928.25,,,,
12,10/05/22 08:03:40 AM,84.97,264.71,,,,
13,10/05/22 08:04:00 AM,84.43,269.70,,,,
14,10/05/22 08:04:20 AM,83.96,277.07,,,,
15,10/05/22 08:04:40 AM,83.81,719.91,,,,
16,10/05/22 08:05:00 AM,83.66,225.17,,,,
17,10/05/22 08:05:20 AM,83.42,185.92,,,,
18,10/05/22 08:05:40 AM,83.27,254.24,,,,
19,10/05/22 08:06:00 AM,83.04,250.55,,,,
20,10/05/22 08:06:20 AM,82.88,254.60,,,,
21,10/05/22 08:06:40 AM,82.65,248.89,,,,
22,10/05/22 08:07:00 AM,82.50,253.65,,,,
23,10/05/22 08:07:20 AM,82.42,260.66,,,,
24,10/05/22 08:07:40 AM,82.27,254.12,,,,
25,10/05/22 08:08:00 AM,82.11,241.40,,,,
26,10/05/22 08:08:20 AM,82.03,242.53,,,,
27,10/05/22 08:08:40 AM,81.96,253.41,,,,
28,10/05/22 08:09:00 AM,81.88,274.34,,,,
29,10/05/22 08:09:20 AM,81.88,282.42,,,,
30,10/05/22 08:09:40 AM,81.80,305.49,,,,
31,10/05/22 08:10:00 AM,81.73,275.17,,,,
32,10/05/22 08:10:20 AM,81.57,297.65,,,,
33,10/05/22 08:10:40 AM,81.57,325.23,,,,
34,10/05/22 08:11:00 AM,81.57,369.23,,,,
35,10/05/22 08:11:20 AM,81.80,2014.90,,,,
36,10/05/22 08:11:40 AM,83.58,3303.94,,,,
37,10/05/22 08:12:00 AM,84.43,1035.51,,,,
38,10/05/22 08:12:20 AM,85.97,2480.10,,,,
39,10/05/22 08:12:40 AM,84.51,348.07,,,,
40,10/05/22 08:13:00 AM,83.96,337.12,,,,
41,10/05/22 08:13:20 AM,83.50,358.65,,,,
42,10/05/22 08:13:40 AM,83.12,448.07,,,,
43,10/05/22 08:14:00 AM,82.88,464.48,,,,
44,10/05/22 08:14:20 AM,82.57,460.32,,,,
45,10/05/22 08:14:40 AM,82.42,489.46,,,,
46,10/05/22 08:15:00 AM,82.34,555.10,,,,
47,10/05/22 08:15:20 AM,82.19,607.90,,,,
48,10/05/22 08:15:40 AM,81.96,555.33,,,,
49,10/05/22 08:16:00 AM,81.96,542.25,,,,
50,10/05/22 08:16:20 AM,81.80,437.13,,,,
51,10/05/22 08:16:40 AM,81.80,1107.82,,,,
52,10/05/22 08:17:00 AM,81.73,602.43,,,,
53,10/05/22 08:17:20 AM,81.73,757.25,,,,
54,10/05/22 08:17:40 AM,81.65,681.15,,,,
55,10/05/22 08:18:00 AM,81.96,1423.18,,,,
56,10/05/22 08:18:20 AM,82.57,2683.68,,,,
57,10/05/22 08:18:40 AM,83.27,2553.35,,,,
58,10/05/22 08:19:00 AM,83.89,2889.17,,,,
59,10/05/22 08:19:20 AM,84.58,3076.58,,,,
60,10/05/22 08:19:40 AM,84.97,2274.61,,,,
61,10/05/22 08:20:00 AM,83.96,403.96,,,,
62,10/05/22 08:20:20 AM,83.35,437.73,,,,
63,10/05/22 08:20:40 AM,82.81,519.18,,,,
64,10/05/22 08:21:00 AM,82.57,655.22,,,,
65,10/05/22 08:21:20 AM,82.34,567.94,,,,
66,10/05/22 08:21:40 AM,82.11,551.05,,,,
67,10/05/22 08:22:00 AM,81.88,529.41,,,,
