date,disturbance_id,line_id,point_name,point_id,coord_x,coord_y,angle_degrees,distance_from_reference_ft,reference_coord_x,reference_coord_y,light_upstream_reference
9/10/2022,2,1,d,d_2_1,90,25,na,na,na,na,no
9/10/2022,2,1,g,g_2_1,80,25,na,na,na,na,no
9/10/2022,2,1,c,c_2_1,65,25,na,na,na,na,no
9/10/2022,2,1,f,f_2_1,50,25,na,na,na,na,no
9/10/2022,2,2,e,e_2_2,105,25,na,na,na,na,no
9/10/2022,2,2,i,i_2_2,115,25,na,na,na,na,no
9/10/2022,2,2,l,l_2_2,120,25,na,na,na,na,no
9/10/2022,2,2,k,k_2_2,135,25,na,na,na,na,no
9/10/2022,2,2,j,j_2_2,150,25,na,na,na,na,no
7/18/2022,1,1,a,a_1_1,250,-20,na,na,na,na,yes
7/18/2022,1,1,b,b_1_1,250,50,na,na,na,na,no
7/18/2022,1,1,c,c_1_1,250,100,na,na,na,na,no
7/18/2022,1,1,d,d_1_1,250,200,na,na,na,na,no
7/18/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
7/18/2022,1,2,f,f_1_2,150,50,na,na,na,na,no
7/18/2022,1,2,g,g_1_2,150,100,na,na,na,na,no
7/18/2022,1,2,h,h_1_2,150,200,na,na,na,na,no
7/18/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
7/18/2022,1,3,j,j_1_3,50,50,na,na,na,na,no
7/18/2022,1,3,k,k_1_3,50,100,na,na,na,na,no
7/18/2022,1,3,l,l_1_3,50,200,na,na,na,na,no
7/18/2022,2,1,a,a_2_1,250,-20,na,na,na,na,yes
7/18/2022,2,1,b,b_2_1,250,50,na,na,na,na,no
7/18/2022,2,1,c,c_2_1,250,100,na,na,na,na,no
7/18/2022,2,1,d,d_2_1,250,200,na,na,na,na,no
7/18/2022,2,2,e,e_2_2,150,-20,na,na,na,na,yes
7/18/2022,2,2,f,f_2_2,150,50,na,na,na,na,no
7/18/2022,2,2,g,g_2_2,150,100,na,na,na,na,no
7/18/2022,2,2,h,h_2_2,150,200,na,na,na,na,no
7/18/2022,2,3,i,i_2_3,50,-20,na,na,na,na,yes
7/18/2022,2,3,j,j_2_3,50,50,na,na,na,na,no
7/18/2022,2,3,k,k_2_3,50,100,na,na,na,na,no
7/18/2022,2,3,l,l_2_3,50,200,na,na,na,na,no
7/18/2022,3,1,a,a_3_1,250,-20,na,na,na,na,yes
7/18/2022,3,1,b,b_3_1,250,50,na,na,na,na,no
7/18/2022,3,1,c,c_3_1,250,100,na,na,na,na,no
7/18/2022,3,1,d,d_3_1,250,200,na,na,na,na,no
7/18/2022,3,2,e,e_3_2,150,-20,na,na,na,na,yes
7/18/2022,3,2,f,f_3_2,150,50,na,na,na,na,no
7/18/2022,3,2,g,g_3_2,150,100,na,na,na,na,no
7/18/2022,3,2,h,h_3_2,150,200,na,na,na,na,no
7/18/2022,3,3,i,i_3_3,50,-20,na,na,na,na,yes
7/18/2022,3,3,j,j_3_3,50,50,na,na,na,na,no
7/18/2022,3,3,k,k_3_3,50,100,na,na,na,na,no
7/18/2022,3,3,l,l_3_3,50,200,na,na,na,na,no
9/25/2022,1,1,a,a_1_1,na,na,-30,20,100,25,yes
9/25/2022,1,1,b,b_1_1,na,na,150,50,100,25,no
9/25/2022,1,1,c,c_1_1,na,na,150,20,100,25,no
8/27/2022,1,1,h,h_1_1,250,-20,na,na,na,na,yes
8/27/2022,1,1,b,b_1_1,250,20,na,na,na,na,no
8/27/2022,1,1,c,c_1_1,250,35,na,na,na,na,no
8/27/2022,1,1,d,d_1_1,250,50,na,na,na,na,no
8/27/2022,1,2,e,e_1_2,150,-20,na,na,na,na,yes
8/27/2022,1,2,f,f_1_2,150,20,na,na,na,na,no
8/27/2022,1,2,g,g_1_2,150,35,na,na,na,na,no
8/27/2022,1,2,a,a_1_2,150,50,na,na,na,na,no
8/27/2022,1,3,i,i_1_3,50,-20,na,na,na,na,yes
8/27/2022,1,3,j,j_1_3,50,20,na,na,na,na,no
8/27/2022,1,3,k,k_1_3,50,35,na,na,na,na,no
8/27/2022,1,3,l,l_1_3,50,50,na,na,na,na,no
8/27/2022,2,1,h,h_2_1,250,-20,na,na,na,na,yes
8/27/2022,2,1,b,b_2_1,250,20,na,na,na,na,no
8/27/2022,2,1,c,c_2_1,250,35,na,na,na,na,no
8/27/2022,2,1,d,d_2_1,250,50,na,na,na,na,no
8/27/2022,2,2,e,e_2_2,150,-20,na,na,na,na,yes
8/27/2022,2,2,f,f_2_2,150,20,na,na,na,na,no
8/27/2022,2,2,g,g_2_2,150,35,na,na,na,na,no
8/27/2022,2,2,a,a_2_2,150,50,na,na,na,na,no
8/27/2022,2,3,i,i_2_3,50,-20,na,na,na,na,yes
8/27/2022,2,3,j,j_2_3,50,20,na,na,na,na,no
8/27/2022,2,3,k,k_2_3,50,35,na,na,na,na,no
