"Plot Title: 21407813"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21407813, SEN S/N: 21407813)","Intensity, lum/ft² (LGR S/N: 21407813, SEN S/N: 21407813)","Button Down (LGR S/N: 21407813)","Button Up (LGR S/N: 21407813)","Host Connected (LGR S/N: 21407813)","End Of File (LGR S/N: 21407813)"
1,11/02/22 08:00:00 AM,68.21,86.39,,,,
2,11/02/22 08:00:20 AM,68.13,87.22,,,,
3,11/02/22 08:00:40 AM,68.21,90.05,,,,
4,11/02/22 08:01:00 AM,68.21,91.45,,,,
5,11/02/22 08:01:20 AM,68.13,92.28,,,,
6,11/02/22 08:01:40 AM,68.13,91.68,,,,
7,11/02/22 08:02:00 AM,68.06,94.92,,,,
8,11/02/22 08:02:20 AM,68.06,95.40,,,,
9,11/02/22 08:02:40 AM,68.06,99.89,,,,
10,11/02/22 08:03:00 AM,68.06,101.61,,,,
11,11/02/22 08:03:20 AM,67.98,104.76,,,,
12,11/02/22 08:03:40 AM,67.98,108.30,,,,
13,11/02/22 08:04:00 AM,68.06,111.22,,,,
14,11/02/22 08:04:20 AM,67.98,75.87,,,,
15,11/02/22 08:04:40 AM,67.90,70.52,,,,
16,11/02/22 08:05:00 AM,67.90,73.07,,,,
17,11/02/22 08:05:20 AM,67.83,72.00,,,,
18,11/02/22 08:05:40 AM,67.67,71.53,,,,
19,11/02/22 08:06:00 AM,67.67,69.54,,,,
20,11/02/22 08:06:20 AM,67.59,69.54,,,,
21,11/02/22 08:06:40 AM,67.67,68.32,,,,
22,11/02/22 08:07:00 AM,67.52,70.84,,,,
23,11/02/22 08:07:20 AM,67.67,73.91,,,,
24,11/02/22 08:07:40 AM,67.52,73.49,,,,
25,11/02/22 08:08:00 AM,67.52,76.43,,,,
26,11/02/22 08:08:20 AM,67.59,78.66,,,,
27,11/02/22 08:08:40 AM,67.52,83.60,,,,
28,11/02/22 08:09:00 AM,67.52,84.25,,,,
29,11/02/22 08:09:20 AM,67.59,80.42,,,,
30,11/02/22 08:09:40 AM,67.52,83.63,,,,
31,11/02/22 08:10:00 AM,67.52,82.47,,,,
32,11/02/22 08:10:20 AM,67.52,87.97,,,,
33,11/02/22 08:10:40 AM,67.36,150.73,,,,
