Plot Title: 21407815,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 21407815, SEN S/N: 21407815)","Intensity, lum/ft² (LGR S/N: 21407815, SEN S/N: 21407815)",Stopped (LGR S/N: 21407815),End Of File (LGR S/N: 21407815)
1,11/9/2022 12:30,85.35,94.86,,
2,11/9/2022 12:30,85.28,84.28,,
3,11/9/2022 12:30,85.12,254.12,,
4,11/9/2022 12:31,85.51,703.03,,
5,11/9/2022 12:31,85.59,626.45,,
6,11/9/2022 12:31,85.66,576.74,,
7,11/9/2022 12:32,85.43,406.45,,
8,11/9/2022 12:32,85.28,408.36,,
9,11/9/2022 12:32,85.28,555.33,,
10,11/9/2022 12:33,85.28,569.84,,
11,11/9/2022 12:33,85.2,375.18,,
12,11/9/2022 12:33,84.89,507.77,,
13,11/9/2022 12:34,84.89,654.27,,
14,11/9/2022 12:34,84.81,606.94,,
15,11/9/2022 12:34,84.97,1046.93,,
16,11/9/2022 12:35,85.2,1178.21,,
17,11/9/2022 12:35,85.51,1201.04,,
18,11/9/2022 12:35,85.59,1074.04,,
19,11/9/2022 12:36,85.12,95.1,,
20,11/9/2022 12:36,84.97,85.5,,
21,11/9/2022 12:36,84.81,83.48,,
22,11/9/2022 12:37,84.74,208.4,,
23,11/9/2022 12:37,84.81,565.32,,
24,11/9/2022 12:37,84.97,528.7,,
25,11/9/2022 12:38,84.97,527.27,,
26,11/9/2022 12:38,85.05,384.69,,
27,11/9/2022 12:38,85.05,484.82,,
28,11/9/2022 12:39,85.2,442.48,,
29,11/9/2022 12:39,85.2,519.18,,
30,11/9/2022 12:39,85.2,700.89,,
31,11/9/2022 12:40,85.35,640.48,,
32,11/9/2022 12:40,85.74,1043.6,,
33,11/9/2022 12:40,85.97,987,,
34,11/9/2022 12:41,86.13,834.31,,
35,11/9/2022 12:41,86.36,1072.14,,
36,11/9/2022 12:41,86.59,1070.71,,
37,11/9/2022 12:42,86.74,1047.41,,
38,11/9/2022 12:42,86.98,1103.53,,
39,11/9/2022 12:42,87.13,1120.18,,
40,11/9/2022 12:43,87.21,872.13,,
41,11/9/2022 12:43,87.13,178.85,,
42,11/9/2022 12:43,86.98,204.36,,
43,11/9/2022 12:44,86.82,232.96,,
44,11/9/2022 12:44,86.9,710.64,,
45,11/9/2022 12:44,87.29,1068.81,,
46,11/9/2022 12:45,87.44,1100.68,,
47,11/9/2022 12:45,87.67,1112.1,,
48,11/9/2022 12:45,87.83,1114,,
49,11/9/2022 12:46,87.83,1082.13,,
50,11/9/2022 12:46,87.9,1111.14,,
51,11/9/2022 12:46,87.9,1096.4,,
52,11/9/2022 12:47,87.9,1026,,
53,11/9/2022 12:47,87.98,1040.27,,
54,11/9/2022 12:47,88.06,1031.23,,
55,11/9/2022 12:48,88.13,1034.09,,
56,11/9/2022 12:48,88.21,1031.71,,
