Plot Title: 20983692,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20983692, SEN S/N: 20983692)","Intensity, lum/ft² (LGR S/N: 20983692, SEN S/N: 20983692)",Stopped (LGR S/N: 20983692),End Of File (LGR S/N: 20983692)
1,11/09/22 12:30:00 PM,92.69,995.56,,
2,11/09/22 12:30:20 PM,93,793.64,,
3,11/09/22 12:30:40 PM,93.77,1474.07,,
4,11/09/22 12:31:00 PM,95.7,6986.51,,
5,11/09/22 12:31:20 PM,96.86,7368.95,,
6,11/09/22 12:31:40 PM,97.86,7330.89,,
7,11/09/22 12:32:00 PM,98.56,7047.4,,
8,11/09/22 12:32:20 PM,98.95,7142.53,,
9,11/09/22 12:32:40 PM,99.25,7427.93,,
10,11/09/22 12:33:00 PM,99.79,7564.92,,
11,11/09/22 12:33:20 PM,99.56,1972.09,,
12,11/09/22 12:33:40 PM,98.79,7578.24,,
13,11/09/22 12:34:00 PM,99.79,7359.43,,
14,11/09/22 12:34:20 PM,99.02,7319.48,,
15,11/09/22 12:34:40 PM,99.64,4779.45,,
16,11/09/22 12:35:00 PM,99.18,3634.05,,
17,11/09/22 12:35:20 PM,99.1,3263.99,,
18,11/09/22 12:35:40 PM,98.95,3826.22,,
19,11/09/22 12:36:00 PM,97.32,932.77,,
20,11/09/22 12:36:20 PM,95.93,884.25,,
21,11/09/22 12:36:40 PM,94.85,886.16,,
22,11/09/22 12:37:00 PM,94.47,2963.37,,
23,11/09/22 12:37:20 PM,94,1017.44,,
24,11/09/22 12:37:40 PM,93.23,995.08,,
25,11/09/22 12:38:00 PM,92.54,994.13,,
26,11/09/22 12:38:20 PM,93.46,2984.3,,
27,11/09/22 12:38:40 PM,92.92,999.84,,
28,11/09/22 12:39:00 PM,92.15,1126.84,,
29,11/09/22 12:39:20 PM,91.53,35.15,,
30,11/09/22 12:39:40 PM,90.99,46.05,,
31,11/09/22 12:40:00 PM,90.76,44.73,,
32,11/09/22 12:40:20 PM,90.45,53.04,,
33,11/09/22 12:40:40 PM,90.37,51.98,,
34,11/09/22 12:41:00 PM,90.14,45.32,,
35,11/09/22 12:41:20 PM,89.83,49.26,,
36,11/09/22 12:41:40 PM,89.52,49.04,,
37,11/09/22 12:42:00 PM,89.14,48.12,,
38,11/09/22 12:42:20 PM,88.83,49.26,,
39,11/09/22 12:42:40 PM,88.52,46.12,,
40,11/09/22 12:43:00 PM,88.13,42.38,,
41,11/09/22 12:43:20 PM,87.83,22.94,,
42,11/09/22 12:43:40 PM,87.59,21.38,,
43,11/09/22 12:44:00 PM,87.44,21.83,,
44,11/09/22 12:44:20 PM,87.21,31.77,,
45,11/09/22 12:44:40 PM,87.21,43.89,,
46,11/09/22 12:45:00 PM,87.13,44.15,,
47,11/09/22 12:45:20 PM,86.74,41.96,,
48,11/09/22 12:45:40 PM,86.59,41.89,,
49,11/09/22 12:46:00 PM,86.2,35.76,,
50,11/09/22 12:46:20 PM,85.74,38.29,,
51,11/09/22 12:46:40 PM,85.35,35.42,,
