"Plot Title: 20983692"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20983692, SEN S/N: 20983692)","Intensity, lum/ft² (LGR S/N: 20983692, SEN S/N: 20983692)","Button Down (LGR S/N: 20983692)","Button Up (LGR S/N: 20983692)","Host Connected (LGR S/N: 20983692)","End Of File (LGR S/N: 20983692)"
1,09/25/22 07:01:00 AM,81.18,0.19,,,,
2,09/25/22 07:01:20 AM,81.18,0.19,,,,
3,09/25/22 07:01:40 AM,81.11,0.19,,,,
4,09/25/22 07:02:00 AM,81.11,0.64,,,,
5,09/25/22 07:02:20 AM,81.03,0.59,,,,
6,09/25/22 07:02:40 AM,80.95,0.60,,,,
7,09/25/22 07:03:00 AM,80.80,0.64,,,,
8,09/25/22 07:03:20 AM,80.80,0.59,,,,
9,09/25/22 07:03:40 AM,80.72,0.62,,,,
10,09/25/22 07:04:00 AM,80.80,0.51,,,,
11,09/25/22 07:04:20 AM,80.80,0.60,,,,
12,09/25/22 07:04:40 AM,80.64,0.40,,,,
13,09/25/22 07:05:00 AM,80.72,0.57,,,,
14,09/25/22 07:05:20 AM,80.72,0.60,,,,
15,09/25/22 07:05:40 AM,80.57,0.64,,,,
16,09/25/22 07:06:00 AM,80.64,0.59,,,,
17,09/25/22 07:06:20 AM,80.64,0.57,,,,
18,09/25/22 07:06:40 AM,80.57,0.68,,,,
19,09/25/22 07:07:00 AM,80.57,0.79,,,,
20,09/25/22 07:07:20 AM,80.57,1.10,,,,
21,09/25/22 07:07:40 AM,80.57,0.93,,,,
22,09/25/22 07:08:00 AM,80.57,0.59,,,,
23,09/25/22 07:08:20 AM,80.57,0.87,,,,
24,09/25/22 07:08:40 AM,80.49,0.95,,,,
25,09/25/22 07:09:00 AM,80.34,1.42,,,,
26,09/25/22 07:09:20 AM,80.18,1.48,,,,
27,09/25/22 07:09:40 AM,80.03,1.08,,,,
28,09/25/22 07:10:00 AM,79.87,1.34,,,,
29,09/25/22 07:10:20 AM,79.79,1.40,,,,
30,09/25/22 07:10:40 AM,79.64,1.63,,,,
31,09/25/22 07:11:00 AM,79.49,1.74,,,,
32,09/25/22 07:11:20 AM,79.41,1.25,,,,
33,09/25/22 07:11:40 AM,79.33,0.81,,,,
34,09/25/22 07:12:00 AM,79.25,0.09,,,,
35,09/25/22 07:12:20 AM,79.18,0.09,,,,
36,09/25/22 07:12:40 AM,79.10,1.94,,,,
37,09/25/22 07:13:00 AM,79.10,1.27,,,,
38,09/25/22 07:13:20 AM,78.95,0.81,,,,
39,09/25/22 07:13:40 AM,78.87,3.72,,,,
40,09/25/22 07:14:00 AM,78.79,1.12,,,,
41,09/25/22 07:14:20 AM,78.79,1.34,,,,
42,09/25/22 07:14:40 AM,78.79,1.29,,,,
43,09/25/22 07:15:00 AM,78.79,1.27,,,,
44,09/25/22 07:15:20 AM,78.79,1.34,,,,
45,09/25/22 07:15:40 AM,78.95,1.40,,,,
46,09/25/22 07:16:00 AM,78.87,1.12,,,,
47,09/25/22 07:16:20 AM,78.87,1.51,,,,
48,09/25/22 07:16:40 AM,78.87,1.69,,,,
49,09/25/22 07:17:00 AM,78.87,1.69,,,,
50,09/25/22 07:17:20 AM,78.87,1.65,,,,
51,09/25/22 07:17:40 AM,78.87,1.74,,,,
52,09/25/22 07:18:00 AM,78.87,1.89,,,,
53,09/25/22 07:18:20 AM,78.95,1.82,,,,
54,09/25/22 07:18:40 AM,78.87,1.91,,,,
55,09/25/22 07:19:00 AM,78.95,1.86,,,,
56,09/25/22 07:19:20 AM,78.95,1.91,,,,
57,09/25/22 07:19:40 AM,78.95,1.99,,,,
58,09/25/22 07:20:00 AM,78.95,1.89,,,,
59,09/25/22 07:20:20 AM,78.95,2.01,,,,
60,09/25/22 07:20:40 AM,78.95,1.99,,,,
61,09/25/22 07:21:00 AM,78.95,2.01,,,,
62,09/25/22 07:21:20 AM,78.95,1.78,,,,
63,09/25/22 07:21:40 AM,78.95,2.11,,,,
64,09/25/22 07:22:00 AM,78.95,2.14,,,,
65,09/25/22 07:22:20 AM,79.02,2.31,,,,
66,09/25/22 07:22:40 AM,78.87,2.20,,,,
67,09/25/22 07:23:00 AM,78.87,2.22,,,,
68,09/25/22 07:23:20 AM,78.95,2.31,,,,
69,09/25/22 07:23:40 AM,78.95,2.45,,,,
70,09/25/22 07:24:00 AM,78.95,2.54,,,,
71,09/25/22 07:24:20 AM,79.02,2.71,,,,
72,09/25/22 07:24:40 AM,78.95,2.81,,,,
73,09/25/22 07:25:00 AM,78.87,2.96,,,,
74,09/25/22 07:25:20 AM,78.95,3.38,,,,
75,09/25/22 07:25:40 AM,78.87,3.51,,,,
76,09/25/22 07:26:00 AM,78.71,3.97,,,,
77,09/25/22 07:26:20 AM,78.56,4.29,,,,
78,09/25/22 07:26:40 AM,78.40,4.50,,,,
79,09/25/22 07:27:00 AM,78.17,4.71,,,,
80,09/25/22 07:27:20 AM,78.10,4.54,,,,
81,09/25/22 07:27:40 AM,78.02,4.63,,,,
82,09/25/22 07:28:00 AM,77.94,5.15,,,,
83,09/25/22 07:28:20 AM,77.94,5.20,,,,
84,09/25/22 07:28:40 AM,77.79,5.54,,,,
85,09/25/22 07:29:00 AM,77.71,6.42,,,,
86,09/25/22 07:29:20 AM,77.63,5.96,,,,
87,09/25/22 07:29:40 AM,77.63,7.53,,,,
88,09/25/22 07:30:00 AM,77.48,8.06,,,,
89,09/25/22 07:30:20 AM,77.48,9.62,,,,
90,09/25/22 07:30:40 AM,77.48,10.80,,,,
91,09/25/22 07:31:00 AM,77.48,11.87,,,,
92,09/25/22 07:31:20 AM,77.40,12.56,,,,
93,09/25/22 07:31:40 AM,77.48,12.86,,,,
94,09/25/22 07:32:00 AM,77.48,13.24,,,,
95,09/25/22 07:32:20 AM,77.40,13.62,,,,
96,09/25/22 07:32:40 AM,77.40,11.72,,,,
97,09/25/22 07:33:00 AM,77.48,13.01,,,,
98,09/25/22 07:33:20 AM,77.40,13.54,,,,
99,09/25/22 07:33:40 AM,77.40,16.17,,,,
100,09/25/22 07:34:00 AM,77.32,16.31,,,,
101,09/25/22 07:34:20 AM,77.32,16.66,,,,
102,09/25/22 07:34:40 AM,77.25,16.70,,,,
103,09/25/22 07:35:00 AM,77.25,16.74,,,,
104,09/25/22 07:35:20 AM,77.17,16.96,,,,
105,09/25/22 07:35:40 AM,77.17,16.05,,,,
106,09/25/22 07:36:00 AM,76.94,16.08,,,,
107,09/25/22 07:36:20 AM,76.94,16.01,,,,
108,09/25/22 07:36:40 AM,76.78,16.28,,,,
109,09/25/22 07:37:00 AM,76.63,18.02,,,,
110,09/25/22 07:37:20 AM,76.55,18.56,,,,
111,09/25/22 07:37:40 AM,76.47,18.94,,,,
112,09/25/22 07:38:00 AM,76.40,19.48,,,,
113,09/25/22 07:38:20 AM,76.32,20.30,,,,
114,09/25/22 07:38:40 AM,76.24,20.68,,,,
115,09/25/22 07:39:00 AM,76.24,21.30,,,,
116,09/25/22 07:39:20 AM,76.17,21.53,,,,
117,09/25/22 07:39:40 AM,76.01,22.38,,,,
