"Plot Title: 21126989"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21126989, SEN S/N: 21126989)","Intensity, lum/ft² (LGR S/N: 21126989, SEN S/N: 21126989)","Button Down (LGR S/N: 21126989)","Button Up (LGR S/N: 21126989)","Host Connected (LGR S/N: 21126989)","End Of File (LGR S/N: 21126989)"
1,09/25/22 07:01:00 AM,80.10,0.08,,,,
2,09/25/22 07:01:20 AM,80.10,0.06,,,,
3,09/25/22 07:01:40 AM,79.95,0.12,,,,
4,09/25/22 07:02:00 AM,79.95,0.14,,,,
5,09/25/22 07:02:20 AM,79.95,0.14,,,,
6,09/25/22 07:02:40 AM,79.95,0.16,,,,
7,09/25/22 07:03:00 AM,79.95,0.18,,,,
8,09/25/22 07:03:20 AM,79.87,0.18,,,,
9,09/25/22 07:03:40 AM,79.79,0.23,,,,
10,09/25/22 07:04:00 AM,79.79,0.25,,,,
11,09/25/22 07:04:20 AM,79.72,0.29,,,,
12,09/25/22 07:04:40 AM,79.72,0.31,,,,
13,09/25/22 07:05:00 AM,79.64,0.35,,,,
14,09/25/22 07:05:20 AM,79.64,0.39,,,,
15,09/25/22 07:05:40 AM,79.56,0.43,,,,
16,09/25/22 07:06:00 AM,79.56,0.47,,,,
17,09/25/22 07:06:20 AM,79.56,0.49,,,,
18,09/25/22 07:06:40 AM,79.56,0.53,,,,
19,09/25/22 07:07:00 AM,79.56,0.58,,,,
20,09/25/22 07:07:20 AM,79.56,0.58,,,,
21,09/25/22 07:07:40 AM,79.49,0.62,,,,
22,09/25/22 07:08:00 AM,79.56,0.64,,,,
23,09/25/22 07:08:20 AM,79.49,0.64,,,,
24,09/25/22 07:08:40 AM,79.49,0.74,,,,
25,09/25/22 07:09:00 AM,79.49,0.82,,,,
26,09/25/22 07:09:20 AM,79.41,0.80,,,,
27,09/25/22 07:09:40 AM,79.33,0.76,,,,
28,09/25/22 07:10:00 AM,79.33,0.93,,,,
29,09/25/22 07:10:20 AM,79.25,0.91,,,,
30,09/25/22 07:10:40 AM,79.25,0.97,,,,
31,09/25/22 07:11:00 AM,79.10,0.99,,,,
32,09/25/22 07:11:20 AM,79.02,1.18,,,,
33,09/25/22 07:11:40 AM,79.10,1.26,,,,
34,09/25/22 07:12:00 AM,79.02,1.32,,,,
35,09/25/22 07:12:20 AM,79.10,1.44,,,,
36,09/25/22 07:12:40 AM,78.95,1.53,,,,
37,09/25/22 07:13:00 AM,78.87,1.61,,,,
38,09/25/22 07:13:20 AM,78.87,1.74,,,,
39,09/25/22 07:13:40 AM,78.79,1.74,,,,
40,09/25/22 07:14:00 AM,78.79,1.86,,,,
41,09/25/22 07:14:20 AM,78.79,1.86,,,,
42,09/25/22 07:14:40 AM,78.71,1.94,,,,
43,09/25/22 07:15:00 AM,78.64,1.94,,,,
44,09/25/22 07:15:20 AM,78.64,1.94,,,,
45,09/25/22 07:15:40 AM,78.64,1.94,,,,
46,09/25/22 07:16:00 AM,78.71,1.98,,,,
47,09/25/22 07:16:20 AM,78.71,1.90,,,,
48,09/25/22 07:16:40 AM,78.64,1.94,,,,
49,09/25/22 07:17:00 AM,78.56,2.02,,,,
50,09/25/22 07:17:20 AM,78.56,2.02,,,,
51,09/25/22 07:17:40 AM,78.56,2.07,,,,
52,09/25/22 07:18:00 AM,78.64,2.27,,,,
53,09/25/22 07:18:20 AM,78.56,2.27,,,,
54,09/25/22 07:18:40 AM,78.64,2.23,,,,
55,09/25/22 07:19:00 AM,78.48,2.27,,,,
56,09/25/22 07:19:20 AM,78.56,2.44,,,,
57,09/25/22 07:19:40 AM,78.48,2.52,,,,
58,09/25/22 07:20:00 AM,78.40,2.52,,,,
59,09/25/22 07:20:20 AM,78.40,2.69,,,,
60,09/25/22 07:20:40 AM,78.40,2.77,,,,
61,09/25/22 07:21:00 AM,78.40,2.69,,,,
62,09/25/22 07:21:20 AM,78.48,2.81,,,,
63,09/25/22 07:21:40 AM,78.40,2.98,,,,
64,09/25/22 07:22:00 AM,78.33,2.73,,,,
65,09/25/22 07:22:20 AM,78.48,3.39,,,,
66,09/25/22 07:22:40 AM,78.40,3.51,,,,
67,09/25/22 07:23:00 AM,78.48,3.63,,,,
68,09/25/22 07:23:20 AM,78.33,3.72,,,,
69,09/25/22 07:23:40 AM,78.33,3.97,,,,
70,09/25/22 07:24:00 AM,78.33,4.21,,,,
71,09/25/22 07:24:20 AM,78.25,4.34,,,,
72,09/25/22 07:24:40 AM,78.25,4.46,,,,
73,09/25/22 07:25:00 AM,78.17,4.59,,,,
74,09/25/22 07:25:20 AM,78.25,4.63,,,,
75,09/25/22 07:25:40 AM,78.17,4.59,,,,
76,09/25/22 07:26:00 AM,78.17,4.67,,,,
77,09/25/22 07:26:20 AM,78.02,4.71,,,,
78,09/25/22 07:26:40 AM,78.02,4.79,,,,
79,09/25/22 07:27:00 AM,78.02,4.92,,,,
80,09/25/22 07:27:20 AM,77.94,5.08,,,,
81,09/25/22 07:27:40 AM,77.86,5.50,,,,
82,09/25/22 07:28:00 AM,77.79,6.20,,,,
83,09/25/22 07:28:20 AM,77.71,6.44,,,,
84,09/25/22 07:28:40 AM,77.71,6.54,,,,
85,09/25/22 07:29:00 AM,77.71,6.95,,,,
86,09/25/22 07:29:20 AM,77.48,7.52,,,,
87,09/25/22 07:29:40 AM,77.48,8.11,,,,
88,09/25/22 07:30:00 AM,77.40,9.01,,,,
89,09/25/22 07:30:20 AM,77.25,10.01,,,,
90,09/25/22 07:30:40 AM,77.17,10.84,,,,
91,09/25/22 07:31:00 AM,77.17,11.83,,,,
92,09/25/22 07:31:20 AM,77.17,12.66,,,,
93,09/25/22 07:31:40 AM,77.17,13.40,,,,
94,09/25/22 07:32:00 AM,77.09,13.99,,,,
95,09/25/22 07:32:20 AM,77.09,14.73,,,,
96,09/25/22 07:32:40 AM,77.09,15.38,,,,
97,09/25/22 07:33:00 AM,77.09,15.79,,,,
98,09/25/22 07:33:20 AM,77.09,15.47,,,,
99,09/25/22 07:33:40 AM,77.01,15.88,,,,
100,09/25/22 07:34:00 AM,77.17,16.14,,,,
101,09/25/22 07:34:20 AM,76.94,16.63,,,,
102,09/25/22 07:34:40 AM,77.01,17.37,,,,
103,09/25/22 07:35:00 AM,76.94,18.20,,,,
104,09/25/22 07:35:20 AM,76.86,18.69,,,,
105,09/25/22 07:35:40 AM,76.78,19.11,,,,
106,09/25/22 07:36:00 AM,76.71,19.86,,,,
107,09/25/22 07:36:20 AM,76.63,19.84,,,,
108,09/25/22 07:36:40 AM,76.47,20.02,,,,
109,09/25/22 07:37:00 AM,76.40,20.01,,,,
110,09/25/22 07:37:20 AM,76.24,20.84,,,,
111,09/25/22 07:37:40 AM,76.09,21.85,,,,
112,09/25/22 07:38:00 AM,76.01,22.76,,,,
113,09/25/22 07:38:20 AM,75.93,23.66,,,,
114,09/25/22 07:38:40 AM,75.93,23.99,,,,
115,09/25/22 07:39:00 AM,75.86,24.56,,,,
116,09/25/22 07:39:20 AM,75.78,25.14,,,,
117,09/25/22 07:39:40 AM,75.70,25.22,,,,
118,09/25/22 07:40:00 AM,75.62,25.39,,,,
119,09/25/22 07:40:20 AM,75.55,25.74,,,,
120,09/25/22 07:40:40 AM,75.47,26.47,,,,
121,09/25/22 07:41:00 AM,75.47,26.73,,,,
122,09/25/22 07:41:20 AM,75.39,26.81,,,,
123,09/25/22 07:41:40 AM,75.39,27.63,,,,
124,09/25/22 07:42:00 AM,75.39,27.96,,,,
125,09/25/22 07:42:20 AM,75.32,28.61,,,,
126,09/25/22 07:42:40 AM,75.32,29.05,,,,
127,09/25/22 07:43:00 AM,75.16,29.87,,,,
128,09/25/22 07:43:20 AM,75.01,30.61,,,,
129,09/25/22 07:43:40 AM,74.93,31.35,,,,
130,09/25/22 07:44:00 AM,74.93,32.58,,,,
131,09/25/22 07:44:20 AM,74.85,34.32,,,,
132,09/25/22 07:44:40 AM,74.85,34.25,,,,
133,09/25/22 07:45:00 AM,74.78,35.32,,,,
134,09/25/22 07:45:20 AM,74.70,36.63,,,,
135,09/25/22 07:45:40 AM,74.62,36.89,,,,
136,09/25/22 07:46:00 AM,74.62,37.47,,,,
137,09/25/22 07:46:20 AM,74.62,38.22,,,,
138,09/25/22 07:46:40 AM,74.54,38.62,,,,
139,09/25/22 07:47:00 AM,74.54,38.96,,,,
140,09/25/22 07:47:20 AM,74.54,39.78,,,,
141,09/25/22 07:47:40 AM,74.62,40.36,,,,
142,09/25/22 07:48:00 AM,74.62,41.35,,,,
143,09/25/22 07:48:20 AM,74.62,43.09,,,,
144,09/25/22 07:48:40 AM,74.54,46.97,,,,
145,09/25/22 07:49:00 AM,74.62,50.36,,,,
146,09/25/22 07:49:20 AM,74.62,52.78,,,,
147,09/25/22 07:49:40 AM,74.62,54.69,,,,
148,09/25/22 07:50:00 AM,74.62,56.25,,,,
149,09/25/22 07:50:20 AM,74.78,58.30,,,,
150,09/25/22 07:50:40 AM,74.78,59.90,,,,
151,09/25/22 07:51:00 AM,74.70,60.88,,,,
152,09/25/22 07:51:20 AM,74.78,62.85,,,,
153,09/25/22 07:51:40 AM,74.85,64.84,,,,
154,09/25/22 07:52:00 AM,74.85,67.10,,,,
155,09/25/22 07:52:20 AM,74.93,69.65,,,,
156,09/25/22 07:52:40 AM,74.93,71.71,,,,
157,09/25/22 07:53:00 AM,74.93,74.11,,,,
158,09/25/22 07:53:20 AM,74.93,77.41,,,,
159,09/25/22 07:53:40 AM,74.93,80.51,,,,
160,09/25/22 07:54:00 AM,75.01,82.56,,,,
161,09/25/22 07:54:20 AM,75.01,83.54,,,,
162,09/25/22 07:54:40 AM,75.08,86.09,,,,
163,09/25/22 07:55:00 AM,75.01,90.20,,,,
164,09/25/22 07:55:20 AM,75.16,94.63,,,,
165,09/25/22 07:55:40 AM,75.16,101.64,,,,
166,09/25/22 07:56:00 AM,75.16,109.70,,,,
167,09/25/22 07:56:20 AM,75.16,117.67,,,,
168,09/25/22 07:56:40 AM,75.32,124.33,,,,
169,09/25/22 07:57:00 AM,75.39,131.04,,,,
170,09/25/22 07:57:20 AM,75.39,142.88,,,,
171,09/25/22 07:57:40 AM,75.47,157.21,,,,
172,09/25/22 07:58:00 AM,75.55,167.91,,,,
173,09/25/22 07:58:20 AM,75.62,181.52,,,,
174,09/25/22 07:58:40 AM,75.62,191.57,,,,
175,09/25/22 07:59:00 AM,75.62,192.41,,,,
176,09/25/22 07:59:20 AM,75.78,187.11,,,,
177,09/25/22 07:59:40 AM,75.86,181.41,,,,
178,09/25/22 08:00:00 AM,75.78,176.77,,,,
179,09/25/22 08:00:20 AM,75.70,173.97,,,,
180,09/25/22 08:00:40 AM,75.78,170.88,,,,
181,09/25/22 08:01:00 AM,75.70,169.22,,,,
182,09/25/22 08:01:20 AM,75.62,166.66,,,,
183,09/25/22 08:01:40 AM,75.62,164.10,,,,
184,09/25/22 08:02:00 AM,75.55,162.08,,,,
185,09/25/22 08:02:20 AM,75.62,159.94,,,,
186,09/25/22 08:02:40 AM,75.55,157.21,,,,
187,09/25/22 08:03:00 AM,75.62,157.62,,,,
188,09/25/22 08:03:20 AM,75.55,157.38,,,,
189,09/25/22 08:03:40 AM,75.55,157.86,,,,
190,09/25/22 08:04:00 AM,75.55,156.49,,,,
191,09/25/22 08:04:20 AM,75.55,155.90,,,,
192,09/25/22 08:04:40 AM,75.55,157.44,,,,
193,09/25/22 08:05:00 AM,75.55,158.34,,,,
194,09/25/22 08:05:20 AM,75.55,157.44,,,,
195,09/25/22 08:05:40 AM,75.62,155.01,,,,
196,09/25/22 08:06:00 AM,75.62,150.78,,,,
197,09/25/22 08:06:20 AM,75.62,146.92,,,,
198,09/25/22 08:06:40 AM,75.62,144.13,,,,
199,09/25/22 08:07:00 AM,75.62,143.89,,,,
200,09/25/22 08:07:20 AM,75.55,142.82,,,,
201,09/25/22 08:07:40 AM,75.55,141.33,,,,
202,09/25/22 08:08:00 AM,75.55,139.43,,,,
203,09/25/22 08:08:20 AM,75.62,137.53,,,,
204,09/25/22 08:08:40 AM,75.70,131.82,,,,
205,09/25/22 08:09:00 AM,75.62,129.74,,,,
206,09/25/22 08:09:20 AM,75.70,134.61,,,,
207,09/25/22 08:09:40 AM,75.78,133.66,,,,
208,09/25/22 08:10:00 AM,75.78,135.68,,,,
209,09/25/22 08:10:20 AM,75.78,137.23,,,,
210,09/25/22 08:10:40 AM,75.86,138.71,,,,
211,09/25/22 08:11:00 AM,75.86,140.32,,,,
212,09/25/22 08:11:20 AM,75.93,141.98,,,,
213,09/25/22 08:11:40 AM,75.93,142.76,,,,
214,09/25/22 08:12:00 AM,75.93,141.69,,,,
215,09/25/22 08:12:20 AM,75.93,138.77,,,,
216,09/25/22 08:12:40 AM,76.01,135.98,,,,
217,09/25/22 08:13:00 AM,75.93,133.01,,,,
218,09/25/22 08:13:20 AM,75.93,130.63,,,,
219,09/25/22 08:13:40 AM,75.93,128.67,,,,
220,09/25/22 08:14:00 AM,75.93,127.30,,,,
221,09/25/22 08:14:20 AM,75.93,126.53,,,,
222,09/25/22 08:14:40 AM,76.01,126.23,,,,
223,09/25/22 08:15:00 AM,76.01,126.35,,,,
224,09/25/22 08:15:20 AM,76.01,126.47,,,,
225,09/25/22 08:15:40 AM,76.01,127.36,,,,
226,09/25/22 08:16:00 AM,76.09,128.73,,,,
227,09/25/22 08:16:20 AM,76.09,131.40,,,,
228,09/25/22 08:16:40 AM,76.17,134.61,,,,
229,09/25/22 08:17:00 AM,76.17,139.13,,,,
230,09/25/22 08:17:20 AM,76.17,144.13,,,,
231,09/25/22 08:17:40 AM,76.09,149.06,,,,
232,09/25/22 08:18:00 AM,76.17,151.14,,,,
233,09/25/22 08:18:20 AM,76.17,149.89,,,,
234,09/25/22 08:18:40 AM,76.17,147.93,,,,
235,09/25/22 08:19:00 AM,76.09,147.81,,,,
236,09/25/22 08:19:20 AM,76.09,148.82,,,,
237,09/25/22 08:19:40 AM,76.17,150.61,,,,
238,09/25/22 08:20:00 AM,76.17,154.83,,,,
239,09/25/22 08:20:20 AM,76.17,156.73,,,,
240,09/25/22 08:20:40 AM,76.17,157.56,,,,
241,09/25/22 08:21:00 AM,76.24,159.70,,,,
242,09/25/22 08:21:20 AM,76.24,162.32,,,,
243,09/25/22 08:21:40 AM,76.24,166.66,,,,
244,09/25/22 08:22:00 AM,76.32,171.18,,,,
245,09/25/22 08:22:20 AM,76.32,178.25,,,,
